segment,duration,loudness_max,pitches,pitch1,pitch2,pitch3,pitch4,pitch5,pitch6,pitch7,pitch8,pitch9,pitch10,pitch11,pitch12
0,0.16839,-59.05,"[0.398, 0.33, 0.407, 0.426, 1.0, 0.697, 0.971, 0.715, 0.546, 0.527, 0.351, 0.412]",0.398,0.33,0.407,0.426,1.0,0.697,0.971,0.715,0.546,0.527,0.351,0.412
1,0.16249,-57.269,"[0.294, 0.391, 0.327, 0.291, 0.579, 0.355, 0.458, 1.0, 0.557, 0.451, 0.301, 0.389]",0.294,0.391,0.327,0.291,0.579,0.355,0.458,1.0,0.557,0.451,0.301,0.389
2,0.3829,-49.097,"[0.637, 0.647, 0.724, 0.747, 0.549, 0.474, 0.637, 1.0, 0.535, 0.604, 0.658, 0.698]",0.637,0.647,0.724,0.747,0.549,0.474,0.637,1.0,0.535,0.604,0.658,0.698
3,0.18082,-22.019,"[0.019, 0.026, 0.028, 0.03, 0.057, 0.136, 0.328, 1.0, 0.23, 0.053, 0.021, 0.024]",0.019,0.026,0.028,0.03,0.057,0.136,0.328,1.0,0.23,0.053,0.021,0.024
4,0.08689,-24.284,"[0.044, 0.045, 0.077, 0.062, 0.068, 0.139, 0.169, 1.0, 0.128, 0.052, 0.032, 0.047]",0.044,0.045,0.077,0.062,0.068,0.139,0.169,1.0,0.128,0.052,0.032,0.047
5,0.49297,-11.684,"[0.294, 0.1, 0.31, 0.139, 0.224, 0.417, 0.228, 1.0, 0.187, 0.318, 0.059, 0.08]",0.294,0.1,0.31,0.139,0.224,0.417,0.228,1.0,0.187,0.318,0.059,0.08
6,0.30726,-15.496,"[0.228, 0.049, 0.073, 0.151, 1.0, 0.932, 0.341, 0.072, 0.056, 0.098, 0.049, 0.064]",0.228,0.049,0.073,0.151,1.0,0.932,0.341,0.072,0.056,0.098,0.049,0.064
7,0.33107,-15.847,"[0.191, 0.118, 0.158, 0.189, 0.49, 1.0, 0.189, 0.114, 0.084, 0.617, 0.065, 0.076]",0.191,0.118,0.158,0.189,0.49,1.0,0.189,0.114,0.084,0.617,0.065,0.076
8,0.12177,-21.334,"[0.445, 0.265, 0.096, 0.149, 0.16, 1.0, 0.145, 0.196, 0.064, 0.218, 0.088, 0.082]",0.445,0.265,0.096,0.149,0.16,1.0,0.145,0.196,0.064,0.218,0.088,0.082
9,0.19787,-20.502,"[0.037, 0.037, 0.096, 0.337, 1.0, 0.355, 0.041, 0.025, 0.012, 0.022, 0.014, 0.02]",0.037,0.037,0.096,0.337,1.0,0.355,0.041,0.025,0.012,0.022,0.014,0.02
10,0.33728,-14.977,"[0.215, 0.027, 0.035, 0.039, 0.159, 1.0, 0.079, 0.02, 0.012, 0.049, 0.009, 0.019]",0.215,0.027,0.035,0.039,0.159,1.0,0.079,0.02,0.012,0.049,0.009,0.019
11,0.27188,-9.138,"[0.073, 0.046, 0.02, 0.046, 0.594, 0.421, 0.121, 0.11, 0.127, 1.0, 0.066, 0.037]",0.073,0.046,0.02,0.046,0.594,0.421,0.121,0.11,0.127,1.0,0.066,0.037
12,0.34766,-11.192,"[1.0, 0.133, 0.049, 0.037, 0.118, 0.441, 0.376, 0.8, 0.079, 0.213, 0.116, 0.213]",1.0,0.133,0.049,0.037,0.118,0.441,0.376,0.8,0.079,0.213,0.116,0.213
13,0.12272,-7.572,"[1.0, 0.223, 0.109, 0.111, 0.233, 0.23, 0.134, 0.487, 0.059, 0.095, 0.107, 0.3]",1.0,0.223,0.109,0.111,0.233,0.23,0.134,0.487,0.059,0.095,0.107,0.3
14,0.30195,-9.703,"[0.333, 0.286, 0.351, 0.368, 1.0, 0.453, 0.228, 0.203, 0.33, 0.404, 0.328, 0.51]",0.333,0.286,0.351,0.368,1.0,0.453,0.228,0.203,0.33,0.404,0.328,0.51
15,0.19741,-11.911,"[0.051, 0.112, 1.0, 0.088, 0.082, 0.018, 0.03, 0.018, 0.035, 0.083, 0.033, 0.026]",0.051,0.112,1.0,0.088,0.082,0.018,0.03,0.018,0.035,0.083,0.033,0.026
16,0.09302,-9.444,"[0.063, 0.046, 0.112, 0.085, 1.0, 0.211, 0.094, 0.047, 0.057, 0.032, 0.049, 0.2]",0.063,0.046,0.112,0.085,1.0,0.211,0.094,0.047,0.057,0.032,0.049,0.2
17,0.92259,-8.271,"[0.147, 0.058, 0.072, 0.24, 1.0, 0.133, 0.138, 0.057, 0.081, 0.08, 0.098, 0.3]",0.147,0.058,0.072,0.24,1.0,0.133,0.138,0.057,0.081,0.08,0.098,0.3
18,0.36585,-13.334,"[0.844, 0.085, 0.133, 0.12, 1.0, 0.093, 0.099, 0.086, 0.09, 0.915, 0.054, 0.115]",0.844,0.085,0.133,0.12,1.0,0.093,0.099,0.086,0.09,0.915,0.054,0.115
19,0.25587,-13.813,"[1.0, 0.045, 0.014, 0.023, 0.18, 0.013, 0.015, 0.05, 0.02, 0.162, 0.02, 0.109]",1.0,0.045,0.014,0.023,0.18,0.013,0.015,0.05,0.02,0.162,0.02,0.109
20,0.31891,-11.118,"[0.125, 0.024, 0.03, 0.021, 0.128, 0.026, 0.034, 0.033, 0.194, 1.0, 0.068, 0.034]",0.125,0.024,0.03,0.021,0.128,0.026,0.034,0.033,0.194,1.0,0.068,0.034
21,0.19637,-15.328,"[0.135, 0.027, 0.036, 0.071, 1.0, 0.345, 0.043, 0.023, 0.041, 0.191, 0.022, 0.076]",0.135,0.027,0.036,0.071,1.0,0.345,0.043,0.023,0.041,0.191,0.022,0.076
22,0.35388,-9.746,"[0.061, 0.074, 0.431, 0.09, 0.122, 0.123, 0.086, 1.0, 0.154, 0.107, 0.05, 0.052]",0.061,0.074,0.431,0.09,0.122,0.123,0.086,1.0,0.154,0.107,0.05,0.052
23,0.10676,-19.336,"[0.575, 1.0, 0.775, 0.287, 0.378, 0.404, 0.392, 0.637, 0.574, 0.628, 0.375, 0.307]",0.575,1.0,0.775,0.287,0.378,0.404,0.392,0.637,0.574,0.628,0.375,0.307
24,0.34853,-15.434,"[0.079, 0.031, 0.106, 0.029, 0.088, 1.0, 0.108, 0.047, 0.033, 0.133, 0.017, 0.02]",0.079,0.031,0.106,0.029,0.088,1.0,0.108,0.047,0.033,0.133,0.017,0.02
25,0.30671,-15.366,"[0.103, 0.1, 0.133, 0.199, 1.0, 0.965, 0.638, 0.098, 0.062, 0.08, 0.04, 0.062]",0.103,0.1,0.133,0.199,1.0,0.965,0.638,0.098,0.062,0.08,0.04,0.062
26,0.61451,-12.766,"[0.209, 0.231, 0.489, 0.305, 0.611, 0.443, 0.171, 0.129, 0.119, 1.0, 0.08, 0.107]",0.209,0.231,0.489,0.305,0.611,0.443,0.171,0.129,0.119,1.0,0.08,0.107
27,0.16299,-13.591,"[0.062, 0.207, 0.103, 0.039, 0.067, 0.172, 1.0, 0.321, 0.043, 0.171, 0.411, 0.076]",0.062,0.207,0.103,0.039,0.067,0.172,1.0,0.321,0.043,0.171,0.411,0.076
28,0.1859,-12.061,"[0.162, 0.064, 0.084, 0.245, 0.161, 0.114, 0.121, 0.231, 1.0, 0.512, 0.071, 0.087]",0.162,0.064,0.084,0.245,0.161,0.114,0.121,0.231,1.0,0.512,0.071,0.087
29,0.24902,-11.175,"[0.084, 0.159, 0.236, 0.114, 0.205, 0.39, 0.455, 1.0, 0.196, 0.38, 0.056, 0.06]",0.084,0.159,0.236,0.114,0.205,0.39,0.455,1.0,0.196,0.38,0.056,0.06
